,precision,recall,f1-score,support
0,0.30158730158730157,0.2289156626506024,0.26027397260273966,166.0
1,0.13615023474178403,0.1695906432748538,0.15104166666666663,171.0
2,0.057803468208092484,0.5555555555555556,0.10471204188481677,18.0
3,0.3448275862068966,0.09433962264150944,0.14814814814814817,106.0
4,0.20958083832335328,0.7777777777777778,0.33018867924528306,45.0
5,0.0,0.0,0.0,20.0
6,0.0,0.0,0.0,17.0
7,0.19672131147540983,0.4,0.26373626373626374,30.0
8,0.07692307692307693,0.07352941176470588,0.07518796992481203,68.0
9,0.21052631578947367,0.03636363636363636,0.062015503875968984,110.0
10,0.4358974358974359,0.27419354838709675,0.3366336633663366,186.0
11,0.3411764705882353,0.15675675675675677,0.21481481481481485,185.0
12,0.11,0.43137254901960786,0.1752988047808765,51.0
13,0.5347593582887701,0.6172839506172839,0.5730659025787965,162.0
14,0.3333333333333333,0.09230769230769231,0.14457831325301207,130.0
15,0.03571428571428571,0.02,0.02564102564102564,50.0
16,0.10416666666666667,0.06756756756756757,0.0819672131147541,74.0
accuracy,0.22844556324732537,0.22844556324732537,0.22844556324732537,0.22844556324732537
macro avg,0.20171574610259502,0.23503261027556746,0.17337082256672443,1589.0
weighted avg,0.2793717916534592,0.22844556324732537,0.22127219253175484,1589.0
